yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,7,1,15,52,2,1,2202520115,147044,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,12,53,1,1,2201530112,143723,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Off-Network,Single Unit Long-haul Truck
2022,1,1,13,52,1,4,2201520413,138917,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,13,53,1,1,2201530113,138049,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Off-Network,Single Unit Long-haul Truck
2022,7,1,19,52,1,1,2201520119,137654,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Single Unit Short-haul Truck
2022,1,1,19,52,2,1,2202520119,135752,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Single Unit Short-haul Truck
2022,1,1,19,52,1,1,2201520119,129762,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Single Unit Short-haul Truck
2022,1,1,13,53,1,1,2201530113,127916,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Off-Network,Single Unit Long-haul Truck
2022,1,1,15,52,2,1,2202520115,126785,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,16,52,1,1,2201520116,125710,Total Gaseous Hydrocarbons,Crankcase Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,15,61,2,1,2202610115,122839,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Combination Short-haul Truck
2022,1,1,16,52,1,1,2201520116,120782,Total Gaseous Hydrocarbons,Crankcase Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,2,53,2,1,2202530102,118539,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Long-haul Truck
2022,1,1,15,61,2,1,2202610115,117898,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Combination Short-haul Truck
2022,7,1,1,53,1,4,2201530401,109426,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,19,53,2,5,2202530519,108799,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,15,52,1,5,2201520515,108281,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,18,53,1,1,2201530118,107046,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Off-Network,Single Unit Long-haul Truck
2022,7,1,19,61,2,1,2202610119,103166,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Combination Short-haul Truck
2022,7,1,11,53,1,1,2201530111,103000,Total Gaseous Hydrocarbons,Evap Permeation,Off-Network,Single Unit Long-haul Truck
2022,7,1,2,61,2,1,2202610102,102375,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Combination Short-haul Truck
2022,1,1,19,61,2,1,2202610119,99783.5,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Combination Short-haul Truck
2022,7,1,90,62,3,1,2203620190,96245.3,Total Gaseous Hydrocarbons,Extended Idle Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,19,53,2,5,2202530519,93782.6,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,1,1,90,62,3,1,2203620190,93677.4,Total Gaseous Hydrocarbons,Extended Idle Exhaust,Off-Network,Combination Long-haul Truck
2022,7,1,15,62,2,1,2202620115,91957.5,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,15,62,2,1,2202620115,89633.7,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Combination Long-haul Truck
2022,7,1,12,52,1,4,2201520412,89467.6,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Restricted Access,Single Unit Short-haul Truck
